Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,0:18,13-24,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,0:52,3-11,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,1:11,3-8,N,
04/20/24,Duke,FB,That's What I Want,4Q,,8:19,13-17,N,
04/20/24,Duke,FB,Dance the Night,Pregame,,,0-0,N,
04/20/24,Duke,FB,Blue & White,Pregame,,,0-0,N,
04/20/24,Duke,FB,Uma Thurman,Pregame,,,0-0,N,
04/20/24,Duke,FB,Lucky Strike,Pregame,,,0-0,N,
04/20/24,Duke,FB,Runaway Baby,Pregame,,,0-0,N,
04/20/24,Duke,FB,Raise Your Glass,Pregame,,,0-0,N,
04/20/24,Duke,FB,Overpass,Pregame,,,0-0,Y,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,13:50,0-2,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,13:04,0-2,N,
04/20/24,Duke,FB,Scream,2Q,,11:56,0-5,Y,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,12:21,0-2,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,8:23,0-5,N,
04/20/24,Duke,FB,Zing It!,2Q,,6:50,0-5,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,6:16,0-8,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,5:27,0-8,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,4:33,0-8,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,3:03,0-8,N,
04/20/24,Duke,FB,Industry Baby,2Q,,1:58,0-8,N,
04/20/24,Duke,FB,Blue & White,2Q,,1:55,3-8,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,9:21,0-5,N,
04/20/24,Duke,FB,Fight Fight (Intro),2Q,,1:38,3-8,N,
04/22/24,,,Dance the Night,,,,,N,Blue Devil Days
04/22/24,,,That's What I Want,,,,,N,Blue Devil Days
04/22/24,,,Blue & White,,,,,N,Blue Devil Days
04/22/24,,,Fight Fight,,,,,N,Blue Devil Days
04/24/24,,,Stacy's Mom,,,,,N,Roving Band
04/24/24,,,Rock Lobster,,,,,N,Roving Band
04/24/24,,,Runaway Baby,,,,,N,Roving Band
04/24/24,,,That's What I Want,,,,,N,Roving Band
04/24/24,,,Pompeii,,,,,N,Roving Band
04/24/24,,,Lucky Strike,,,,,N,Roving Band
04/24/24,,,Vehicle,,,,,N,Roving Band
04/24/24,,,Fight Fight,,,,,N,Roving Band
04/24/24,,,Blue & White,,,,,N,Roving Band
04/24/24,,,Everytime,,,,,N,Roving Band
04/24/24,,,Pumpkin,,,,,N,Roving Band
04/24/24,,,Dance the Night,,,,,N,Roving Band
04/27/24,,,Zing It!,,,,,Y,Lake Wheeler Invitational
04/27/24,,,That's What I Want,,,,,N,Lake Wheeler Invitational
04/27/24,,,Blue & White,,,,,N,Lake Wheeler Invitational
04/27/24,,,Fight Fight,,,,,N,Lake Wheeler Invitational
04/27/24,,,Dance the Night,,,,,N,Lake Wheeler Invitational
04/27/24,,,Blue & White,,,,,N,Lake Wheeler Invitational
04/27/24,,,Fight Fight,,,,,N,Lake Wheeler Invitational
04/27/24,,,Fight Fight,,,,,N,Lake Wheeler Invitational
04/27/24,,,Blue & White,,,,,Y,Lake Wheeler Invitational
