Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
02/10/24,Boston College,MBB,Somebody Told Me,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Fight Fight,1H,<16:00,14:16,14-9,N,
02/10/24,Boston College,MBB,Fat,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Scream,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,good 4 business,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Blue & White,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Stacy's Mom,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Can't,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Love Runs Out,Pregame,,,0-0,Y,
02/10/24,Boston College,MBB,Can't,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Zing It!,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Devil,Pregame,,,0-0,N,
02/10/24,Boston College,MBB,Igor's Theme,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Devil,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Zing It!,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Somebody Told Me,Pregame,,,0-0,N,
02/11/24,UNC,WBB,DJamite,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Raise Your Glass,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Uma Thurman,Pregame,,,0-0,N,
02/11/24,UNC,WBB,That That,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Dance the Night,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Mortal,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Can't,Pregame,,,0-0,N,
02/11/24,UNC,WBB,Fight Fight,1Q,<5:00,4:56,4-11,Y,
02/11/24,UNC,WBB,Lucky Strike,1Q-2Q Break,,,12-13,Y,
02/11/24,UNC,WBB,Can't,Halftime,,,25-26,N,
02/11/24,UNC,WBB,Devil,Postgame,,,68-60,N,
02/11/24,UNC,WBB,That's What I Want,1OT,,,,N,
02/11/24,UNC,WBB,Zing It!,1OT,,,,N,
02/11/24,UNC,WBB,Devil,1OT,,,,N,
02/11/24,UNC,WBB,Blue & White,1OT Break,,,53-53,N,
02/11/24,UNC,WBB,Dear Old Duke,Postgame,,,68-60,N,
02/11/24,UNC,WBB,Sail,4Q,,1:32,53-53,N,
02/11/24,UNC,WBB,Everytime,4Q,<5:00,4:05,45-48,Y,
02/11/24,UNC,WBB,Zing It!,4Q,,6:28,40-46,Y,
02/11/24,UNC,WBB,Wipeout,3Q-4Q Break,,,34-46,Y,
02/11/24,UNC,WBB,Love from the Other Side,3Q,<5:00,4:07,27-37,Y,
02/11/24,UNC,WBB,Fight Fight,1OT Break,,,53-53,N,
02/19/24,Notre Dame,WBB,Lucky Strike,Halftime,,,30-27,Y,
02/19/24,Notre Dame,WBB,Can't,Halftime,,,30-27,N,
02/19/24,Notre Dame,WBB,Dance the Night,3Q,<5:00,4:44,37-36,Y,
02/19/24,Notre Dame,WBB,Wipeout,3Q,,2:56,37-42,N,
02/19/24,Notre Dame,WBB,Zing It!,3Q-4Q Break,,,39-48,N,
02/19/24,Notre Dame,WBB,Pumpkin,4Q,<5:00,4:24,47-61,N,
02/19/24,Notre Dame,WBB,Everytime,4Q,<5:00,4:24,47-61,N,
02/19/24,Notre Dame,WBB,That's What I Want,4Q,,1:16,56-65,N,
02/19/24,Notre Dame,WBB,Blue & White,Postgame,,,62-70,N,
02/19/24,Notre Dame,WBB,Dear Old Duke,Postgame,,,62-70,N,
02/19/24,Notre Dame,WBB,Sail,2Q,<5:00,4:37,23-20,N,
02/19/24,Notre Dame,WBB,T. gogo,3Q-4Q Break,,,39-48,N,
02/19/24,Notre Dame,WBB,Spell,2Q,<5:00,4:37,23-20,N,
02/19/24,Notre Dame,WBB,Runaway Baby,1Q-2Q Break,,,15-16,Y,
02/19/24,Notre Dame,WBB,Blue & White,1Q,<5:00,4:37,8-7,Y,
02/19/24,Notre Dame,WBB,That That,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Uma Thurman,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Scream,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Lucky Strike,Pregame,,,0-0,Y,
02/19/24,Notre Dame,WBB,Can't,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Potential Breakup Song,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,DJamite,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Devil,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Mortal,Pregame,,,0-0,N,
02/19/24,Notre Dame,WBB,Fight Fight,1Q,<5:00,4:37,8-7,N,
02/19/24,Notre Dame,WBB,Love from the Other Side,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Sail,1H,<4:00,3:49,33-17,N,
02/28/24,Louisville,MBB,Blue & White,1H,<16:00,15:17,6-3,N,
02/28/24,Louisville,MBB,Sucker,1H,<12:00,11:21,15-9,Y,
02/28/24,Louisville,MBB,Uma Thurman,1H,<8:00,7:27,23-13,Y,
02/28/24,Louisville,MBB,Spell,1H,<4:00,3:49,33-17,N,
02/28/24,Louisville,MBB,Blue & White,Halftime,,,36-23,N,
02/28/24,Louisville,MBB,Dear Old Duke,Postgame,,,84-59,N,
02/28/24,Louisville,MBB,Somebody Told Me,2H,<8:00,7:53,67-46,N,
02/28/24,Louisville,MBB,Everytime,2H,<4:00,3:49,71-53,N,
02/28/24,Louisville,MBB,Pumpkin,2H,<4:00,3:49,71-53,N,
02/28/24,Louisville,MBB,Devil,Postgame,,,84-59,N,
02/28/24,Louisville,MBB,Fight Fight,1H,<16:00,15:17,6-3,N,
02/28/24,Louisville,MBB,Can't,Halftime,,,36-23,N,
02/28/24,Louisville,MBB,Mortal,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Dance the Night,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Zing It!,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Devil,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,T. gogo,2H,,18:15,43-23,N,
02/28/24,Louisville,MBB,That That,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Lucky Strike,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Raise Your Glass,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Runaway Baby,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Wipeout,2H,,18:15,43-23,N,
02/28/24,Louisville,MBB,Love from the Other Side,2H,<16:00,13:27,52-36,N,
02/28/24,Louisville,MBB,Can't,Pregame,,,0-0,N,
